Year,temp_anomaly,temp_anomaly_5yr
1980,0.26,
1981,0.32,
1982,0.14,0.238
1983,0.31,0.21000000000000002
1984,0.16,0.182
1985,0.12,0.21800000000000003
1986,0.18,0.23399999999999999
1987,0.32,0.25600000000000006
1988,0.39,0.322
1989,0.27,0.366
1990,0.45,0.346
1991,0.4,0.31399999999999995
1992,0.22,0.32199999999999995
1993,0.23,0.32
1994,0.31,0.306
1995,0.44,0.354
1996,0.33,0.43000000000000005
1997,0.46,0.44400000000000006
1998,0.61,0.434
1999,0.38,0.47400000000000003
2000,0.39,0.508
2001,0.53,0.508
2002,0.63,0.538
2003,0.61,0.596
2004,0.53,0.6180000000000001
2005,0.68,0.624
2006,0.64,0.6100000000000001
2007,0.66,0.6340000000000001
2008,0.54,0.642
2009,0.65,0.636
2010,0.72,0.632
2011,0.61,0.658
2012,0.64,0.678
2013,0.67,0.712
2014,0.75,0.792
2015,0.89,0.8460000000000001
2016,1.01,0.882
2017,0.91,0.9279999999999999
2018,0.85,0.952
2019,0.98,0.9199999999999999
2020,1.01,0.916
2021,0.85,0.9800000000000001
2022,0.89,1.0399999999999998
2023,1.17,1.076
2024,1.28,
2025,1.19,
